H3_int_index,count,geometry,H3_str,H3_center,H3_center_lat,H3_center_long,cluster,H3_parent,H3_parent_center,H3_parent_center_lat,H3_parent_center_long,
638331674476189503,2,"POLYGON ((32.03605658667543 -28.79355351839837, 32.03605835262297 -28.79351589796281, 32.03602072016815 -28.79349625862569, 32.03598132175719 -28.79351423972438, 32.03597955579572 -28.7935518601619, 32.03601718825914 -28.79357149949879, 32.03605658667543 -28.79355351839837))",8dbcf46a208973f,"(-28.79353387906907, 32.03601895421397)",-28.79353388,32.03601895,0,8abcf46a208ffff,"(-28.793658346861452, 32.03655287254243)",-28.79365835,32.03655287,
638331674480019135,538,"POLYGON ((32.04505151612484 -28.79165680679045, 32.04505328042724 -28.79161918582385, 32.0450156480257 -28.7915995487047, 32.04497625131312 -28.79161753255236, 32.04497448699678 -28.7916551535209, 32.04501211940694 -28.79167479063981, 32.04505151612484 -28.79165680679045))",8dbcf46a24306bf,"(-28.7916371696791, 32.045013883716635)",-28.79163717,32.04501388,0,8abcf46a2437fff,"(-28.791862895238662, 32.04500329784897)",-28.7918629,32.0450033,
638331674478346623,2358,"POLYGON ((32.02835845414772 -28.78999824003268, 32.02836022145983 -28.78996061816852, 32.02832258988418 -28.78994097578768, 32.02828319098784 -28.78995895527123, 32.02828142366178 -28.78999657713736, 32.02831905524603 -28.79001621951796, 32.02835845414772 -28.78999824003268))",8dbcf46a229817f,"(-28.789978597659637, 32.02832082256542)",-28.7899786,32.02832082,0,8abcf46a229ffff,"(-28.7899229962907, 32.0283619887713)",-28.789923,32.02836199,
638331674736724799,9,"POLYGON ((32.0531535534476 -28.78906252010254, 32.05315531626076 -28.78902489833637, 32.05311768406664 -28.78900526301907, 32.05307828905074 -28.78902324946819, 32.05307652622365 -28.78906087123633, 32.0531141584264 -28.78908050655337, 32.0531535534476 -28.78906252010254))",8dbcf46b1900b3f,"(-28.789042884793055, 32.05311592124683)",-28.78904288,32.05311592,0,8abcf46b1907fff,"(-28.788876059967297, 32.053239394652785)",-28.78887606,32.05323939,
638331674544345727,3,"POLYGON ((32.04984531867753 -28.81604655667643, 32.04984708231544 -28.81600894467299, 32.04980944541283 -28.81598931436251, 32.04977004486368 -28.81600729605572, 32.04976828121183 -28.81604490806114, 32.04980591812306 -28.81606453837137, 32.04984531867753 -28.81604655667643))",8dbcf46a618927f,"(-28.816026926373777, 32.049807681768264)",-28.81602693,32.04980768,1,8abcf46a618ffff,"(-28.8161006523807, 32.0506139293676)",-28.81610065,32.05061393,
638331674736802239,49,"POLYGON ((32.05424894252024 -28.78789968414262, 32.05425070512526 -28.78786206197307, 32.05421307310409 -28.78784242671962, 32.05417367846927 -28.78786041363594, 32.0541719158503 -28.78789803580745, 32.0542095478801 -28.78791767106068, 32.05424894252024 -28.78789968414262))",8dbcf46b19139bf,"(-28.787880048896966, 32.054211310492406)",-28.78788005,32.05421131,0,8abcf46b1917fff,"(-28.788109078235188, 32.0543547882852)",-28.78810908,32.05435479,
638331674544234943,2,"POLYGON ((32.04568997060641 -28.8199672067043, 32.04569173502988 -28.81992959605547, 32.04565409755884 -28.81990996539455, 32.04561469565572 -28.81992794538269, 32.04561293121831 -28.81996555603349, 32.04565056869796 -28.81998518669417, 32.04568997060641 -28.8199672067043))",8dbcf46a616e1bf,"(-28.8199475760512, 32.04565233312873)",-28.81994758,32.04565233,1,8abcf46a616ffff,"(-28.81993436926943, 32.04503601780806)",-28.81993437,32.04503602,
638331674797412927,2,"POLYGON ((32.05074519884048 -28.79273917807568, 32.05074696212059 -28.79270155760394, 32.0507093293466 -28.79268192239427, 32.05066993328386 -28.79269990765658, 32.05066816998981 -28.79273752813027, 32.05070580277243 -28.79275716333972, 32.05074519884048 -28.79273917807568))",8dbcf46b52e123f,"(-28.79271954287381, 32.05070756605983)",-28.79271954,32.05070757,0,8abcf46b52e7fff,"(-28.792791646047014, 32.05143669495852)",-28.79279165,32.05143669,
638331674483404159,1731,"POLYGON ((32.03170945052862 -28.7917087284741, 32.0317112172481 -28.79167110729093, 32.03167358526057 -28.79165146627097, 32.03163418654494 -28.79166944643438, 32.03163241981151 -28.7917070676195, 32.03167005180765 -28.79172670863923, 32.03170945052862 -28.7917087284741))",8dbcf46a276ad7f,"(-28.79168908746193, 32.031671818534434)",-28.79168909,32.03167182,0,8abcf46a276ffff,"(-28.791962110669306, 32.03123489845984)",-28.79196211,32.0312349,
638331674483168127,1315,"POLYGON ((32.03672172647061 -28.79170372654776, 32.0367234922822 -28.791666105451, 32.03668586013608 -28.79164646589957, 32.03664646216978 -28.79166444744513, 32.03664469634426 -28.79170206854384, 32.03668232849898 -28.79172170809504, 32.03672172647061 -28.79170372654776))",8dbcf46a273137f,"(-28.791684087004132, 32.03668409431784)",-28.79168409,32.03668409,0,8abcf46a2737fff,"(-28.791700664855785, 32.03745439508897)",-28.79170066,32.0374544,
638331674547768383,425,"POLYGON ((32.05336878865394 -28.80832815263764, 32.05337055158904 -28.80829053788596, 32.05333291595245 -28.80827090689889, 32.05329351737212 -28.80828889066374, 32.05329175442308 -28.8083265054174, 32.0533293900683 -28.80834613640423, 32.05336878865394 -28.80832815263764))",8dbcf46a64ccc3f,"(-28.80830852165838, 32.05333115301069)",-28.80830852,32.05333115,1,8abcf46a64cffff,"(-28.807847259381816, 32.05289010377714)",-28.80784726,32.0528901,
638331674803082431,79,"POLYGON ((32.05838051059382 -28.80504646769221, 32.05838227259362 -28.80500885183519, 32.05834463738523 -28.80498922159152, 32.05830524016844 -28.80500720720511, 32.05830347815471 -28.80504482306411, 32.05834111337171 -28.80506445330754, 32.05838051059382 -28.80504646769221))",8dbcf46b58494bf,"(-28.805026837456353, 32.05834287537879)",-28.80502684,32.05834288,1,8abcf46b584ffff,"(-28.805203509024842, 32.05868159248252)",-28.80520351,32.05868159,
638331674735896703,1249,"POLYGON ((32.05334163577629 -28.78669397112031, 32.05334339853559 -28.78665634849614, 32.05330576675787 -28.78663671270967, 32.05326637221222 -28.78665469954763, 32.05326460943898 -28.78669232217378, 32.05330224122532 -28.78671195796001, 32.05334163577629 -28.78669397112031))",8dbcf46b183687f,"(-28.78667433534166, 32.05330400399192)",-28.78667434,32.053304,0,8abcf46b1837fff,"(-28.786494314245438, 32.052811265514386)",-28.78649431,32.05281127,
638331674478321983,375,"POLYGON ((32.03005312270649 -28.79003481261169, 32.03005488971197 -28.78999719079055, 32.03001725807571 -28.78997754891463, 32.02997785942537 -28.78999552886007, 32.02997609240596 -28.79003315068316, 32.03001372405082 -28.79005279255884, 32.03005312270649 -28.79003481261169))",8dbcf46a229213f,"(-28.790015170743565, 32.03001549106358)",-28.79001517,32.03001549,0,8abcf46a2297fff,"(-28.79034711859042, 32.02969146618238)",-28.79034712,32.02969147,
638331674550288639,2,"POLYGON ((32.05001049673765 -28.81170145548156, 32.05001226030932 -28.81166384189848, 32.04997462417661 -28.81164421067349, 32.04993522446362 -28.81166219303182, 32.04993346087802 -28.81169980661686, 32.04997109701934 -28.81171943784162, 32.05001049673765 -28.81170145548156))",8dbcf46a67340ff,"(-28.81168182426439, 32.04997286059829)",-28.81168182,32.04997286,1,8abcf46a6737fff,"(-28.81133835460625, 32.04975762556046)",-28.81133835,32.04975763,
638331674543272383,1298,"POLYGON ((32.05004933543998 -28.81334010620381, 32.0500510990183 -28.8133024932182, 32.05001346259207 -28.81328286236775, 32.04997406257888 -28.81330084450315, 32.04997229898662 -28.81333845749074, 32.05000993542148 -28.81335808834094, 32.05004933543998 -28.81334010620381))",8dbcf46a60831bf,"(-28.813320475361174, 32.050011699007094)",-28.81332048,32.0500117,1,8abcf46a6087fff,"(-28.81371953256305, 32.05018577278191)",-28.81371953,32.05018577,
