INDEX_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,geom_WKT
32430,WHITEHALL,GB,59.133333,-2.6,"POLYGON ((-2.988148089558095 58.93381901547302,-2.988148089558095 59.3328476511937,-2.2118519104419327 59.3328476511937,-2.2118519104419327 58.93381901547302,-2.988148089558095 58.93381901547302))"
32440,KIRKWALL,GB,58.983333,-2.966667,"POLYGON ((-3.353145048348069 58.78382896635425,-3.353145048348069 59.18283770031246,-2.5801882849852644 59.18283770031246,-2.5801882849852644 58.78382896635425,-3.353145048348069 58.78382896635425))"
32450,STROMNESS,GB,58.966667,-3.3,"POLYGON ((-3.686298998368029 58.76715714032509,-3.686298998368029 59.16617619300825,-2.913701001631966 59.16617619300825,-2.913701001631966 58.76715714032509,-3.686298998368029 58.76715714032509))"
32460,SOUTH NESS,GB,58.8,-3.2,"POLYGON ((-3.584443290582614 58.60048850619699,-3.584443290582614 58.99951149380305,-2.8155567094173795 58.99951149380305,-2.8155567094173795 58.60048850619699,-3.584443290582614 58.60048850619699))"
32470,ST MARGARETS HOPE,GB,58.833333,-2.95,"POLYGON ((-3.334806111077963 58.6338241151954,-3.334806111077963 59.03284255147128,-2.565193888922038 59.03284255147128,-2.565193888922038 58.6338241151954,-3.334806111077963 58.6338241151954))"
32490,LYNESS,GB,58.833333,-3.2,"POLYGON ((-3.5848125875392203 58.633822867471565,-3.5848125875392203 59.03284379919512,-2.8151874124607756 59.03284379919512,-2.8151874124607756 58.633822867471565,-3.5848125875392203 58.633822867471565))"
32500,SCAPA BAY,GB,58.95,-2.983333,"POLYGON ((-3.369439389961676 58.75049477102549,-3.369439389961676 59.14950522897453,-2.5972272767049907 59.14950522897453,-2.5972272767049907 58.75049477102549,-3.369439389961676 58.75049477102549))"
4800,CHICAGO,US,41.883333,-87.6,"POLYGON ((-87.8677465719466 41.683246076778175,-87.8677465719466 42.08342058988862,-87.33225342805345 42.08342058988862,-87.33225342805345 41.683246076778175,-87.8677465719466 41.683246076778175))"
4810,WILMETTE,US,42.083333,-87.683333,"POLYGON ((-87.95192061777375 41.883253842343414,-87.95192061777375 42.283412824323285,-87.41474604889295 42.283412824323285,-87.41474604889295 41.883253842343414,-87.95192061777375 41.883253842343414))"
4820,GREAT LAKES,US,42.3,-87.833333,"POLYGON ((-88.10284049725576 42.099929165160745,-88.10284049725576 42.50007083483922,-87.5638261694109 42.50007083483922,-87.5638261694109 42.099929165160745,-88.10284049725576 42.099929165160745))"
4830,WAUKEGAN,US,42.366667,-87.816667,"POLYGON ((-88.08645777295095 42.16659806428587,-88.08645777295095 42.56673526904738,-87.54687556038238 42.56673526904738,-87.54687556038238 42.16659806428587,-88.08645777295095 42.16659806428587))"
4840,KENOSHA,US,42.583333,-87.816667,"POLYGON ((-88.08738939732547 42.38327228419865,-88.08738939732547 42.78339438246774,-87.54594393600786 42.78339438246774,-87.54594393600786 42.38327228419865,-88.08738939732547 42.38327228419865))"
4850,RACINE,US,42.733333,-87.783333,"POLYGON ((-88.05470845350243 42.5332772994903,-88.05470845350243 42.93338936717635,-87.51195821316423 42.93338936717635,-87.51195821316423 42.5332772994903,-88.05470845350243 42.5332772994903))"
4860,MILWAUKEE,US,43.033333,-87.883333,"POLYGON ((-88.15602879577106 42.83328841675292,-88.15602879577106 43.23337824991371,-87.61063787089562 43.23337824991371,-87.61063787089562 42.83328841675292,-88.15602879577106 42.83328841675292))"
4870,PORT WASHINGTON,US,43.383333,-87.866667,"POLYGON ((-88.14092348817357 43.18330059856124,-88.14092348817357 43.58336606810533,-87.59240984515975 43.58336606810533,-87.59240984515975 43.18330059856124,-88.14092348817357 43.18330059856124))"
4880,SHEBOYGAN,US,43.75,-87.7,"POLYGON ((-87.9759238723611 43.5499787047457,-87.9759238723611 43.950021295254345,-87.42407612763891 43.950021295254345,-87.42407612763891 43.5499787047457,-87.9759238723611 43.5499787047457))"
4890,MANITOWOC,US,44.1,-87.65,"POLYGON ((-87.9275460856567 43.8999903247871,-87.9275460856567 44.300009675212976,-87.37245391434334 44.300009675212976,-87.37245391434334 43.8999903247871,-87.9275460856567 43.8999903247871))"
4380,PORT HOPE,US,43.95,-82.7,"POLYGON ((-82.97684822596881 43.74998569121073,-82.97684822596881 44.1500143087893,-82.4231517740312 44.1500143087893,-82.4231517740312 43.74998569121073,-82.97684822596881 43.74998569121073))"
4400,BAY CITY,US,43.6,-83.866667,"POLYGON ((-84.14190541508724 43.39997484807329,-84.14190541508724 43.800025151926526,-83.59142791824605 43.800025151926526,-83.59142791824605 43.39997484807329,-84.14190541508724 43.39997484807329))"
